날짜,거래량
2018.11.08,323679
2018.11.07,205850
2018.11.06,98413
2018.11.05,133456
2018.11.02,249048
2018.11.01,186248
2018.10.31,216953
2018.10.30,291638
2018.10.29,275310
2018.10.26,367097
2018.10.25,217330
2018.10.24,155643
2018.10.23,223298
2018.10.22,197886
2018.10.19,299614
2018.10.18,156857
2018.10.17,204952
2018.10.16,201796
2018.10.15,254717
2018.10.12,408289
2018.10.11,590394
2018.10.10,259063
2018.10.08,227413
2018.10.05,193588
2018.10.04,294153
2018.10.02,379051
2018.10.01,186598
2018.09.28,200272
2018.09.27,537797
2018.09.21,211618
2018.09.20,247610
2018.09.19,160730
2018.09.18,150708
2018.09.17,158799
2018.09.14,385130
2018.09.13,231262
2018.09.12,237308
2018.09.11,149433
2018.09.10,154583
2018.09.07,183590
2018.09.06,146886
2018.09.05,175496
2018.09.04,149552
2018.09.03,129386
2018.08.31,172829
2018.08.30,181819
2018.08.29,296514
2018.08.28,163047
2018.08.27,207012
2018.08.24,199093
2018.08.23,623291
2018.08.22,192440
2018.08.21,153050
2018.08.20,268809
2018.08.17,211421
2018.08.16,464174
2018.08.14,148391
2018.08.13,260190
2018.08.10,235552
2018.08.09,294946
2018.08.08,194906
2018.08.07,348804
2018.08.06,253436
2018.08.03,1024617
2018.08.02,346202
2018.08.01,114637
2018.07.31,237121
2018.07.30,159589
2018.07.27,165925
2018.07.26,215360
2018.07.25,234177
2018.07.24,201713
2018.07.23,484734
2018.07.20,544253
2018.07.19,355485
2018.07.18,387456
2018.07.17,270147
2018.07.16,211001
2018.07.13,278846
2018.07.12,316902
2018.07.11,153639
2018.07.10,192719
2018.07.09,151621
2018.07.06,249996
2018.07.05,278045
2018.07.04,151289
2018.07.03,184733
2018.07.02,320984
2018.06.29,309784
2018.06.28,236282
2018.06.27,389399
2018.06.26,250726
2018.06.25,360720
2018.06.22,525889
2018.06.21,642528
2018.06.20,269828
2018.06.19,348873
2018.06.18,435006
2018.06.15,548597
2018.06.14,516095
2018.06.12,321133
2018.06.11,180520
2018.06.08,314940
2018.06.07,393979
2018.06.05,214331
2018.06.04,200538
2018.06.01,214493
2018.05.31,656603
2018.05.30,347836
2018.05.29,406747
2018.05.28,234308
2018.05.25,332060
2018.05.24,512740
2018.05.23,659351
2018.05.21,356821
2018.05.18,168083
2018.05.17,467664
2018.05.16,536064
2018.05.15,343179
2018.05.14,696147
2018.05.11,539986
2018.05.10,335975
2018.05.09,249077
